Sj;Group;Age;Sleep;Mouse;Cell;s1xs2;s2xs3;s3xs4;s4xs5;Type
58;Young_SD;Young;restriction;R94SD;T5_1;0,19983;0,76609;0,66749;0,83234;Object
59;Young_SD;Young;restriction;R94SD;T5_3;0,176718823;0,742509885;0,733545401;0,650215931;Object
60;Young_SD;Young;restriction;R95SD;T1_2;0,246551812;0,420222546;0,368746196;0,314537172;Object
61;Young_SD;Young;restriction;R95SD;T4_2;0,259310502;0,172783967;0,434183158;0,614697831;Object
1;Old_C;Old;control;R104C;T1_2;0,01711054;0,03580445;0,176893515;0,018290459;Unstable
2;Old_C;Old;control;R104C;T1_4;0,364604744;0,416313182;0,289455016;0,226977504;Unstable
3;Old_C;Old;control;R53C;T5_2;0,004933689;0,377834544;0,054590568;0,153034501;Unstable
4;Old_C;Old;control;R72C;T3_2;-0,197445532;-0,411973019;-0,043290399;-0,404542637;Unstable
5;Old_C;Old;control;R72C;T4_1;0,538362623;0,003163323;0,176274604;-0,129195336;Unstable
6;Old_C;Old;control;R72C;T4_12;0,271191839;0,538278656;-0,161736252;-0,158003934;Unstable
7;Old_C;Old;control;R72C;T4_5;-0,209990546;-0,049260741;0,418118902;-0,291980548;Unstable
8;Old_C;Old;control;R72C;T4_8;-0,109176365;-0,252759428;0,23528343;-0,476006371;Unstable
9;Old_C;Old;control;R72C;T4_9;0,281314972;0,327189425;-0,568346441;0,356756988;Unstable
10;Old_C;Old;control;R72C;T5_8;0,115317684;-0,009521479;0,751757959;-0,152481744;Unstable
11;Old_C;Old;control;R76C;T1_3;0,235167273;-0,110558208;-0,001020449;-0,366782707;Unstable
12;Old_SD;Old;restriction;R109SD;T6_4;0,27564;0,435494099;0,306908859;-0,171317234;Unstable
13;Old_SD;Old;restriction;R104SD;T1_2;0,024557355;0,303778864;0,550521311;-0,500189754;Unstable
14;Old_SD;Old;restriction;R104SD;T1_3;-0,017485301;-0,399284529;0,397675597;-0,350482581;Unstable
15;Old_SD;Old;restriction;R104SD;T5_2;0,14828078;0,122472726;0,300389245;-0,326540079;Unstable
16;Old_SD;Old;restriction;R109SD;T1_1;0,013749065;0,047182833;0,030396815;0,391324584;Unstable
17;Old_SD;Old;restriction;R109SD;T1_2;-0,032758523;-0,216879168;0,042983272;-0,011359588;Unstable
18;Old_SD;Old;restriction;R109SD;T6_3;-0,266205885;0,273219457;0,097590895;-0,061666007;Unstable
19;Old_SD;Old;restriction;R113SD;T5_2;-0,02;0,33;0,42;0,381657573;Unstable
20;Old_SD;Old;restriction;R113SD;T5_4;-0,230690867;-0,013761804;0,297156462;0,211572778;Unstable
