Subject;Mouse;Cell Type;Group;Age;Sleep;mfr_s1;mfr_s2;mfr_s3;mfr_s4;mfr_s5;pfr_s1;pfr_s2;pfr_s3;pfr_s4;pfr_s5;outF_s1;outF_s2;outF_s3;outF_s4;outF_s5;NOfF_s1;NOfF_s2;NOfF_s3;NOfF_s4;NOfF_s5;InfoC_s1;InfoC_s2;InfoC_s3;InfoC_s4;InfoC_s5;RatRemap_Hab-S1;RatRemap_S1-S2;RatRemap_S2-S3;RatRemap_S3-test;SmFields_s1;SmFields_s2;SmFields_s3;SmFields_s4;SmFields_s5
R81SD4_1;R81SD;T4_1;Young_SD;Young;restriction;0,535789913;1,47548499;0,961714646;0,714608014;0,938267397;1,863762995;2,127576153;2,615771622;1,903673589;4,023255053;0,413117787;1,054363392;0,83458663;0,556588163;0,57257013;1;2;1;2;1;0,588659004;0,562849588;0,472477871;0,47861036;0,628078467;0,263813159;0,488195468;0,712098033;2,119581464;396;416;272;396;80
R94SD2_1;R94SD;T2_1;Young_SD;Young;restriction;0,446053242;0,353053491;0,248440409;0,113692751;0,32708708;1,120396195;0,847122331;0,548976619;0,456382123;0,986210457;0,195951238;0,245800123;0,143305972;0;0,186495989;1;1;1;NA;1;0,34433975;0,466222102;0,667143507;0,341152804;0,641660388;0,273273864;0,298145712;0,092594496;0,529828334;80;168;124;104;84
R94SD2_3;R94SD;T2_3;Young_SD;Young;restriction;0,926418273;1,030142377;1,122950649;1,141138349;1,337330718;0,952490362;1,427503349;0,888317875;0,748625325;0,715863943;0,605117249;0,553360231;0,725642359;0,599691181;0,998666461;3;2;2;1;2;1,020105648;1,786874376;1,002551124;1,131845499;2,032465266;0,475012987;0,539185474;0,13969255;0,032761382;72;40;188;448;52
R94SD2_4;R94SD;T2_4;Young_SD;Young;restriction;0,230379147;0,164435872;0,168939478;0,143168649;0,124210283;2,914710022;1,739404354;1,60760258;1,431260784;1,436593764;0,148035722;0,141289648;0,131318277;0,121107752;0,060751369;1;1;2;2;2;0,835501345;0,56391412;0,833777183;0,581323771;1,541823695;1,175305668;0,131801774;0,176341796;0,00533298;96;168;176;180;112
R94SD2_5;R94SD;T2_5;Young_SD;Young;restriction;0,186263991;0,304689999;0,278253258;0,366343308;0,136631312;2,678307726;5,065929024;3,400434843;1,541895526;3,431943612;0,177616495;0,308553677;0,186133195;0,231494786;0,109858348;1;1;1;1;1;0,484520912;0,802670287;0,551228193;0,562348742;0,975831377;2,387621298;1,665494181;1,858539317;1,890048086;104;64;64;68;40
R94SD2_6;R94SD;T2_6;Young_SD;Young;restriction;0,720547546;0,527162061;0,481974394;0,517933642;0,397472907;2,251641687;2,17803687;2,401804422;2,614400798;2,651295509;0,515583505;0,472762515;0,307792642;0,320063976;0,286830948;2;2;1;1;1;1,433185292;NA;1,648178858;1,957589258;1,845043218;0,073604817;0,223767551;0,212596376;0,036894711;544;320;104;176;136
R94SD3_2;R94SD;T3_2;Young_SD;Young;restriction;0,426446507;0,29985365;0,298128491;0,248439714;0,264981938;2,62092686;1,412356304;1,840318104;1,449516107;1,936170804;0,138213594;0,211077816;0,190586546;0,147125041;0,197727649;1;1;1;1;1;0,26196739;0,188385823;0,247475145;0,266515661;0,653998172;1,208570556;0,4279618;0,390801996;0,486654697;224;172;164;244;232
R94SD3_3;R94SD;T3_3;Young_SD;Young;restriction;1,274437836;0,788324918;0,760227652;0,960072117;0,587928675;2,507905996;2,732657803;2,865234911;2,386298281;2,350890882;0,749086142;0,571137846;0,714368205;0,67693086;0,439466585;1;1;1;1;1;0,557694441;1,0172757;0,630540087;0,815754222;0,790698087;0,224751808;0,132577108;0,47893663;0,035407399;60;196;104;148;128
R94SD3_4;R94SD;T3_4;Young_SD;Young;restriction;0,828384593;0,372398887;0,636007447;0,551620383;0,69971793;2,950774406;1,061304308;1,944829533;1,11663739;1,089971961;0,573998885;0,12564754;0,35450131;0,319760554;0,294006069;1;1;1;2;1;0,556309776;0,52131048;0,506965459;0,945210495;1,041006524;1,889470098;0,883525225;0,828192143;0,026665429;132;272;84;76;220
R94SD3_5;R94SD;T3_5;Young_SD;Young;restriction;0,681334074;0,720616029;0,809915734;0,648469763;0,583788332;2,070486983;3,21215621;2,821247454;1,870554083;1,763678666;0,577510281;0,336500191;0,626492774;0,202434933;0,459774574;1;1;1;1;2;0,814081462;0,393845747;0,910194304;0,809498681;0,761517788;1,141669227;0,390908756;0,950693371;0,106875417;412;152;356;224;608
